Column 1,pids,pjson,Latitude,Longitude
---xini,,,,
...aieoi,,,,
...aioi,,,,
Abdera,,,,
Abdereitoi,,,,
Achaia,,,,
Acra Colophia,,,,
Aegae,https://pleiades.stoa.org/places/550404,"{
    ""features"": [
        {
            ""geometry"": {
                ""type"": ""Point"",
                ""coordinates"": [
                    27.19367,
                    38.83379
                ]
            },
            ""type"": ""Feature"",
            ""id"": ""geonames-location"",
            ""properties"": {
                ""snippet"": ""Settlement; 750 BC - AD 640"",
                ""link"": ""https://pleiades.stoa.org/places/550404/geonames-location"",
                ""description"": ""Representative point location based on a Geonames place record. Dates after BAtlas."",
                ""location_precision"": ""precise"",
                ""title"": ""Geonames Location""
            }
        }
    ],
    ""contributors"": [
        {
            ""username"": null,
            ""name"": ""DARMC""
        },
        {
            ""username"": ""bkiesling"",
            ""homepage"": null,
            ""name"": ""Brady Kiesling"",
            ""uri"": ""https://pleiades.stoa.org/author/bkiesling""
        },
        {
            ""username"": ""sgillies"",
            ""homepage"": null,
            ""name"": ""Sean Gillies"",
            ""uri"": ""https://pleiades.stoa.org/author/sgillies""
        },
        {
            ""username"": ""jahlfeldt"",
            ""homepage"": null,
            ""name"": ""Johan Åhlfeldt"",
            ""uri"": ""https://pleiades.stoa.org/author/jahlfeldt""
        },
        {
            ""username"": ""rmhorne"",
            ""homepage"": null,
            ""name"": ""Ryan Horne"",
            ""uri"": ""https://pleiades.stoa.org/author/rmhorne""
        },
        {
            ""username"": null,
            ""name"": ""R. Talbert""
        },
        {
            ""username"": ""thomase"",
            ""homepage"": null,
            ""name"": ""Tom Elliott"",
            ""uri"": ""https://pleiades.stoa.org/author/thomase""
        }
    ],
    ""locations"": [
        {
            ""contributors"": [],
            ""associationCertainty"": ""certain"",
            ""attestations"": [
                {
                    ""timePeriod"": ""archaic"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/archaic"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""classical"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/classical"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""hellenistic-republican"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/hellenistic-republican"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""roman"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/roman"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""late-antique"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/late-antique"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                }
            ],
            ""references"": [
                {
                    ""alternateURI"": """",
                    ""accessURI"": ""http://www.geonames.org/11395378/aigeai-aeolis.html"",
                    ""citationDetail"": ""11395378: Aigeai (Aeolis) "",
                    ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/citesAsDataSource"",
                    ""shortTitle"": ""GeoNames"",
                    ""bibliographicURI"": ""https://www.zotero.org/groups/pleiades/items/IIFE4W6M"",
                    ""formattedCitation"": ""<div class=\""csl-entry\"">Marc Wick, and Christophe Boutreux. “GeoNames,” 2005. http://www.geonames.org/.</div>"",
                    ""otherIdentifier"": """",
                    ""type"": ""citesAsDataSource""
                }
            ],
            ""id"": ""geonames-location"",
            ""featureTypeURI"": [
                ""https://pleiades.stoa.org/vocabularies/place-types/settlement""
            ],
            ""end"": 640,
            ""title"": ""Geonames Location"",
            ""provenance"": ""Pleiades"",
            ""associationCertaintyURI"": ""https://pleiades.stoa.org/vocabularies/association-certainty/certain"",
            ""start"": -750,
            ""locationTypeURI"": [
                ""https://pleiades.stoa.org/vocabularies/place-types/settlement""
            ],
            ""archaeologicalRemains"": ""substantive"",
            ""details"": """",
            ""review_state"": ""published"",
            ""accuracy_value"": 30.0,
            ""accuracy"": ""https://pleiades.stoa.org/features/metadata/generic-geonames-accuracy-assessment"",
            ""featureType"": [
                ""settlement""
            ],
            ""description"": ""Representative point location based on a Geonames place record. Dates after BAtlas."",
            ""created"": ""2017-04-05T22:20:01Z"",
            ""geometry"": {
                ""type"": ""Point"",
                ""coordinates"": [
                    27.19367,
                    38.83379
                ]
            },
            ""locationType"": [
                ""representative""
            ],
            ""uri"": ""https://pleiades.stoa.org/places/550404/geonames-location"",
            ""creators"": [
                {
                    ""username"": ""thomase"",
                    ""homepage"": null,
                    ""name"": ""Tom Elliott"",
                    ""uri"": ""https://pleiades.stoa.org/author/thomase""
                }
            ],
            ""@type"": ""Location"",
            ""history"": [
                {
                    ""comment"": ""dates after BAtlas"",
                    ""modifiedBy"": ""thomase"",
                    ""modified"": ""2017-04-05T22:22:57Z""
                },
                {
                    ""comment"": ""Initial revision"",
                    ""modifiedBy"": ""thomase"",
                    ""modified"": ""2017-04-05T22:20:06Z""
                }
            ]
        }
    ],
    ""connections"": [
        {
            ""end"": null,
            ""description"": """",
            ""contributors"": [
                {
                    ""username"": ""jbecker"",
                    ""homepage"": null,
                    ""name"": ""Jeffrey Becker"",
                    ""uri"": ""https://pleiades.stoa.org/author/jbecker""
                }
            ],
            ""created"": ""2016-07-13T13:50:01Z"",
            ""associationCertainty"": ""certain"",
            ""title"": ""Aeolis"",
            ""start"": null,
            ""provenance"": ""Pleiades"",
            ""uri"": ""https://pleiades.stoa.org/places/550404/550406"",
            ""connectionType"": ""part_of_regional"",
            ""id"": ""550406"",
            ""attestations"": [],
            ""history"": [
                {
                    ""comment"": ""Initial revision"",
                    ""modifiedBy"": ""jbecker"",
                    ""modified"": ""2018-05-10T00:22:54Z""
                }
            ],
            ""connectsTo"": ""https://pleiades.stoa.org/places/550406"",
            ""details"": """",
            ""references"": [],
            ""review_state"": ""published"",
            ""creators"": [
                {
                    ""username"": ""sgillies"",
                    ""homepage"": null,
                    ""name"": ""Sean Gillies"",
                    ""uri"": ""https://pleiades.stoa.org/author/sgillies""
                }
            ],
            ""@type"": ""Connection"",
            ""connectionTypeURI"": ""https://pleiades.stoa.org/vocabularies/relationship-types/part_of_regional""
        },
        {
            ""end"": -30,
            ""description"": """",
            ""contributors"": [
                {
                    ""username"": ""jbecker"",
                    ""homepage"": null,
                    ""name"": ""Jeffrey Becker"",
                    ""uri"": ""https://pleiades.stoa.org/author/jbecker""
                }
            ],
            ""created"": ""2018-09-17T17:44:58Z"",
            ""associationCertainty"": ""certain"",
            ""title"": ""Attalid kingdom"",
            ""start"": -330,
            ""provenance"": ""Pleiades"",
            ""uri"": ""https://pleiades.stoa.org/places/550404/attalid-kingdom"",
            ""connectionType"": ""part_of_admin"",
            ""id"": ""attalid-kingdom"",
            ""attestations"": [
                {
                    ""timePeriod"": ""hellenistic-republican"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/hellenistic-republican"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                }
            ],
            ""history"": [
                {
                    ""comment"": ""Edited"",
                    ""modifiedBy"": ""jbecker"",
                    ""modified"": ""2018-09-17T23:11:52Z""
                },
                {
                    ""comment"": ""Initial revision"",
                    ""modifiedBy"": ""rmhorne"",
                    ""modified"": ""2018-09-17T17:45:04Z""
                }
            ],
            ""connectsTo"": ""https://pleiades.stoa.org/places/177302800"",
            ""details"": """",
            ""references"": [
                {
                    ""alternateURI"": """",
                    ""accessURI"": ""http://data.perseus.org/citations/urn:cts:greekLit:tlg0543.tlg001.perseus-eng1:5.77"",
                    ""citationDetail"": ""Polyb. 5.77"",
                    ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/seeFurther"",
                    ""shortTitle"": """",
                    ""bibliographicURI"": """",
                    ""formattedCitation"": """",
                    ""otherIdentifier"": """",
                    ""type"": ""seeFurther""
                },
                {
                    ""alternateURI"": """",
                    ""accessURI"": """",
                    ""citationDetail"": ""p. 46 & p.46 n. 70"",
                    ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/seeFurther"",
                    ""shortTitle"": ""Antiochus III and the Cities of Western Asia Minor"",
                    ""bibliographicURI"": ""https://www.zotero.org/groups/pleiades/items/6N7MGNWQ"",
                    ""formattedCitation"": ""<div class=\""csl-entry\"">Ma, John. <i>Antiochus III and the Cities of Western Asia Minor</i>. Oxford: Oxford Univ. Press, 2005.</div>"",
                    ""otherIdentifier"": """",
                    ""type"": ""seeFurther""
                }
            ],
            ""review_state"": ""published"",
            ""creators"": [
                {
                    ""username"": ""rmhorne"",
                    ""homepage"": null,
                    ""name"": ""Ryan Horne"",
                    ""uri"": ""https://pleiades.stoa.org/author/rmhorne""
                }
            ],
            ""@type"": ""Connection"",
            ""connectionTypeURI"": ""https://pleiades.stoa.org/vocabularies/relationship-types/part_of_admin""
        }
    ],
    ""references"": [
        {
            ""alternateURI"": """",
            ""accessURI"": """",
            ""citationDetail"": """",
            ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/seeFurther"",
            ""shortTitle"": """",
            ""bibliographicURI"": ""http://openlibrary.org/works/OL8327792W"",
            ""formattedCitation"": ""BAtlas 56 E4 Aegae"",
            ""otherIdentifier"": "" "",
            ""type"": ""seeFurther""
        },
        {
            ""alternateURI"": """",
            ""accessURI"": """",
            ""citationDetail"": """",
            ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/seeFurther"",
            ""shortTitle"": """",
            ""bibliographicURI"": ""http://atlantides.org/bibliography/r.html#RE-Aegae-5"",
            ""formattedCitation"": ""RE Aegae 5"",
            ""otherIdentifier"": """",
            ""type"": ""seeFurther""
        },
        {
            ""alternateURI"": """",
            ""accessURI"": ""http://www.une.edu.au/cat/sites/aigai.php"",
            ""citationDetail"": """",
            ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/seeFurther"",
            ""shortTitle"": """",
            ""bibliographicURI"": """",
            ""formattedCitation"": ""Current Archaeology in Turkey, \""Aigai (İzmir)\"""",
            ""otherIdentifier"": "" "",
            ""type"": ""seeFurther""
        },
        {
            ""alternateURI"": """",
            ""accessURI"": ""https://en.wikipedia.org/wiki/Aigai_%28Aeolian%29"",
            ""citationDetail"": ""Aigai (Aeolian)"",
            ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/seeFurther"",
            ""shortTitle"": ""Wikipedia (English)"",
            ""bibliographicURI"": ""https://www.zotero.org/groups/2533/items/CI6F6W7W"",
            ""formattedCitation"": ""Wikipedia: the free encyclopedia that anyone can edit (2001-), Aigai (Aeolian)."",
            ""otherIdentifier"": "" "",
            ""type"": ""seeFurther""
        },
        {
            ""alternateURI"": """",
            ""accessURI"": ""https://darmc.harvard.edu/"",
            ""citationDetail"": ""11179"",
            ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/citesAsRelated"",
            ""shortTitle"": ""DARMC"",
            ""bibliographicURI"": ""https://www.zotero.org/groups/2533/pleiades/items/itemKey/9UD9W75C"",
            ""formattedCitation"": ""Michael McCormick, Giovanni Zambotti, Leland Grigoli, and Kelly Gibson, eds., The Digital Atlas of Roman and Medieval Civilizations (Cambridge (Massachusetts): Harvard University, 2007-), 11179."",
            ""otherIdentifier"": """",
            ""type"": ""citesAsRelated""
        },
        {
            ""alternateURI"": """",
            ""accessURI"": ""http://dare.ht.lu.se/places/21428"",
            ""citationDetail"": ""21428: Yuntdağı Köseler/Manisa"",
            ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/citesAsRelated"",
            ""shortTitle"": ""DARE"",
            ""bibliographicURI"": ""https://www.zotero.org/groups/pleiades/items/DJKMJPD7"",
            ""formattedCitation"": ""<div class=\""csl-entry\"">Åhlfeldt, Johan. <i>Digital Atlas of the Roman Empire</i>. Lund, Sweden: Department of Archaeology and Ancient History, Lund University, Sweden, 2015. http://dare.ht.lu.se/.</div>"",
            ""otherIdentifier"": """",
            ""type"": ""citesAsRelated""
        },
        {
            ""alternateURI"": """",
            ""accessURI"": ""https://topostext.org/place/388273PAig"",
            ""citationDetail"": ""Aigai (Aiolis)"",
            ""citationTypeURI"": ""https://pleiades.stoa.org/vocabularies/feature-type/seeFurther"",
            ""shortTitle"": ""ToposText"",
            ""bibliographicURI"": ""https://www.zotero.org/groups/2533/items/MC9RGDVB"",
            ""formattedCitation"": ""Kiesling, Brady. ToposText – a Reference Tool for Greek Civilization. Version 2.0. Aikaterini Laskaridis Foundation, 2016-."",
            ""otherIdentifier"": """",
            ""type"": ""seeFurther""
        }
    ],
    ""names"": [
        {
            ""nameType"": ""geographic"",
            ""transcriptionAccuracy"": ""accurate"",
            ""associationCertainty"": ""certain"",
            ""romanized"": ""Aegae"",
            ""attestations"": [
                {
                    ""timePeriod"": ""archaic"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/archaic"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""classical"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/classical"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""hellenistic-republican"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/hellenistic-republican"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""roman"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/roman"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                },
                {
                    ""timePeriod"": ""late-antique"",
                    ""timePeriodURI"": ""https://pleiades.stoa.org/vocabularies/time-periods/late-antique"",
                    ""confidence"": ""confident"",
                    ""confidenceURI"": ""https://pleiades.stoa.org/vocabularies/attestation-confidence/confident""
                }
            ],
            ""references"": [],
            ""id"": ""aegae"",
            ""end"": 640,
            ""contributors"": [
                {
                    ""username"": null,
                    ""name"": ""R. Talbert""
                },
                {
                    ""username"": null,
                    ""name"": ""T. Elliott""
                },
                {
                    ""username"": ""sgillies"",
                    ""homepage"": null,
                    ""name"": ""Sean Gillies"",
                    ""uri"": ""https://pleiades.stoa.org/author/sgillies""
                }
            ],
            ""provenance"": ""Barrington Atlas: BAtlas 56 E4 Aegae"",
            ""associationCertaintyURI"": ""https://pleiades.stoa.org/vocabularies/association-certainty/certain"",
            ""start"": -750,
            ""details"": """",
            ""review_state"": ""published"",
            ""description"": """",
            ""transcriptionCompleteness"": ""complete"",
            ""language"": """",
            ""created"": ""2009-10-15T08:28:03Z"",
            ""uri"": ""https://pleiades.stoa.org/places/550404/aegae"",
            ""creators"": [
                {
                    ""username"": null,
                    ""name"": ""C. Foss""
                },
                {
                    ""username"": null,
                    ""name"": ""S. Mitchell""
                },
                {
                    ""username"": null,
                    ""name"": ""G. Reger""
                }
            ],
            ""attested"": """",
            ""@type"": ""Name"",
            ""history"": [
                {
                    ""comment"": ""Global migration and reindexing of citations and provenance, February 2012"",
                    ""modifiedBy"": ""admin"",
                    ""modified"": ""2012-02-15T06:16:30Z""
                }
            ]
        }
    ],
    ""id"": ""550404"",
    ""subject"": [
        ""dare:ancient=1"",
        ""dare:major=1"",
        ""dare:feature=major settlement""
    ],
    ""title"": ""Aegae"",
    ""provenance"": ""Barrington Atlas: BAtlas 56 E4 Aegae"",
    ""placeTypeURIs"": [
        ""https://pleiades.stoa.org/vocabularies/place-types/settlement""
    ],
    ""details"": ""<p>None</p>"",
    ""@context"": {
        ""snippet"": ""dcterms:abstract"",
        ""rights"": ""dcterms:rights"",
        ""description"": ""dcterms:description"",
        ""title"": ""dcterms:title"",
        ""dcterms"": ""http://purl.org/dc/terms/"",
        ""subject"": ""dcterms:subject"",
        ""uri"": ""@id"",
        ""created"": ""dcterms:created""
    },
    ""review_state"": ""published"",
    ""type"": ""FeatureCollection"",
    ""description"": ""An ancient place, cited: BAtlas 56 E4 Aegae"",
    ""reprPoint"": [
        27.19367,
        38.83379
    ],
    ""placeTypes"": [
        ""settlement""
    ],
    ""bbox"": [
        27.19367,
        38.83379,
        27.19367,
        38.83379
    ],
    ""connectsWith"": [
        ""https://pleiades.stoa.org/places/550406"",
        ""https://pleiades.stoa.org/places/177302800""
    ],
    ""rights"": ""Copyright © The Creators. Sharing and remixing permitted under terms of the Creative Commons Attribution 3.0 License (cc-by)."",
    ""created"": ""2018-06-07T21:20:23Z"",
    ""uri"": ""https://pleiades.stoa.org/places/550404"",
    ""creators"": [
        {
            ""username"": null,
            ""name"": ""C. Foss""
        },
        {
            ""username"": null,
            ""name"": ""G. Reger""
        },
        {
            ""username"": null,
            ""name"": ""S. Mitchell""
        }
    ],
    ""@type"": ""Place"",
    ""history"": [
        {
            ""comment"": ""add ToposText reference provided by bkiesling"",
            ""modifiedBy"": ""admin"",
            ""modified"": ""2018-06-07T21:20:26Z""
        },
        {
            ""comment"": ""DARE reference for retracted location"",
            ""modifiedBy"": ""thomase"",
            ""modified"": ""2017-04-05T22:28:47Z""
        },
        {
            ""comment"": ""DARMC reference for retracted location"",
            ""modifiedBy"": ""thomase"",
            ""modified"": ""2017-04-05T22:26:51Z""
        },
        {
            ""comment"": ""Horne credit for connection"",
            ""modifiedBy"": ""thomase"",
            ""modified"": ""2017-04-05T22:25:41Z""
        },
        {
            ""comment"": ""DARE feature tag fix."",
            ""modifiedBy"": ""sgillies"",
            ""modified"": ""2012-10-23T19:35:44Z""
        },
        {
            ""comment"": ""Location updates and tags from Johan Ahlfeldt's (jahlfeldt) Digital Atlas of the Roman Empire in October 2012"",
            ""modifiedBy"": ""sgillies"",
            ""modified"": ""2012-10-20T20:58:46Z""
        },
        {
            ""comment"": ""Global migration and reindexing of citations and provenance, February 2012"",
            ""modifiedBy"": ""admin"",
            ""modified"": ""2012-02-15T06:16:29Z""
        },
        {
            ""comment"": ""Fixing modern/alt locations fumbled in intial import"",
            ""modifiedBy"": ""sgillies"",
            ""modified"": ""2011-12-20T23:22:34Z""
        },
        {
            ""comment"": ""Added links to Current Archaeology in Turkey and DBPedia."",
            ""modifiedBy"": ""thomase"",
            ""modified"": ""2011-05-04T21:25:11Z""
        },
        {
            ""comment"": ""Baseline created"",
            ""modifiedBy"": ""thomase"",
            ""modified"": ""2011-05-04T21:13:00Z""
        },
        {
            ""comment"": ""New locations, coordinates, and metadata from Harvard's DARMC project. See http://atlantides.org/trac/pleiades/wiki/PlaceUpgradesAndMigrations"",
            ""modifiedBy"": ""sgillies"",
            ""modified"": ""2011-03-01T03:26:44Z""
        }
    ]
}",38.83379,27.19367
Aegenses,,,,
